Cost;Start Deck Amount;End Deck Amount
1;0;0
2;15;0
3;15;0
4;0;1
5;0;6
6;0;7
7;0;11
8;0;5



Name;i;ATK;DEF;Cost;Value;Powers
Axel Génocidaire Fourbe en Mousse;1184;13;1;8;1;0;0;0;1
Axel Violent Fourbe en Carton;1148;10;4;8;1;0;0;0;1
Axel Violent Parlementaire Fourbe en Mousse;1126;10;1;8;1;0;0;1;1
Dragon Hargneux Parlementaire en Carton;1106;9;3;7;1;0;0;1;0
Dragon Hargneux Parlementaire en Carton;1064;8;4;7;1;0;0;1;0
Axel Hargneux Parlementaire Géant en Carton;1057;8;3;8;1;0;1;1;0
Dragon Hargneux Fourbe Géant en Carton;1044;8;2;7;1;0;1;0;1
Axel Hargneux GD Parlementaire Géant en Mousse;1038;8;1;8;1;1;1;1;0
Dragon Hargneux GD Géant en Mousse;1036;8;1;7;1;1;1;0;0
Dragon Hargneux Parlementaire Fourbe en Mousse;1027;8;1;7;1;0;0;1;1
Dragon Hargneux Parlementaire Fourbe en Carton;985;7;3;7;1;0;0;1;1
Hectolion Hargneux Géant en Carton;971;7;2;6;1;0;1;0;0
Dragon Motivé Fourbe en Plastique;923;6;5;7;1;0;0;0;1
Hectolion Motivé Géant en Carton;914;6;4;6;1;0;1;0;0
Hectolion Motivé Fourbe en Carton;896;6;3;6;1;0;0;0;1
Dragon Motivé GD en Plastique;841;5;6;7;1;1;0;0;0
Axel Motivé GD Fourbe en Plastique;831;5;5;8;1;1;0;0;1
Dragon Motivé GD Parlementaire en Carton;817;5;4;7;1;1;0;1;0
Hectolion Motivé Parlementaire Géant en Carton;798;5;3;6;1;0;1;1;0
Hectolion Motivé Fourbe Géant en Carton;797;5;3;6;1;0;1;0;1
Prog Motivé Géant en Carton;796;5;3;5;1;0;1;0;0
Dragon Motivé GD Fourbe Géant en Carton;789;5;2;7;1;1;1;0;1
Prog Motivé Géant en Carton;780;5;2;5;1;0;1;0;0
Axel Motivé GD Géant en Plastique;740;4;7;8;1;1;1;0;0
Axel Motivé Parlementaire Fourbe en Plastique;733;4;7;8;1;0;0;1;1
Axel Motivé GD Géant en Plastique;729;4;6;8;1;1;1;0;0
Prog Motivé en Plastique;718;4;6;5;1;0;0;0;0
Dragon Motivé GD Fourbe Géant en Carton;685;4;3;7;1;1;1;0;1
Prog Motivé Parlementaire Géant en Carton;662;4;2;5;1;0;1;1;0
Goblin Motivé Géant en Mousse;644;4;1;4;1;0;1;0;0
Goblin Motivé Fourbe en Mousse;641;4;1;4;1;0;0;0;1
Axel Inoffensif Parlementaire Fourbe Géant en Plastique;605;3;7;8;1;0;1;1;1
Prog Inoffensif Géant en Plastique;572;3;5;5;1;0;1;0;0
Chaton Inoffensif en Carton;536;3;3;3;2;0;0;0;0
Goblin Inoffensif GD en Mousse;512;3;1;4;1;1;0;0;0
Axel Inoffensif en Chêne;502;2;13;8;1;0;0;0;0
Axel Inoffensif Parlementaire Fourbe en Terre Cuite;488;2;10;8;1;0;0;1;1
Dragon Inoffensif Géant en Terre Cuite;478;2;9;7;1;0;1;0;0
Dragon Inoffensif Fourbe Géant en Terre Cuite;467;2;8;7;1;0;1;0;1
Dragon Inoffensif GD Fourbe en Plastique;456;2;7;7;1;1;0;0;1
Hectolion Inoffensif GD Parlementaire en Plastique;426;2;5;6;1;1;0;1;0
Hectolion Inoffensif Fourbe Géant en Plastique;421;2;5;6;1;0;1;0;1
Hectolion Inoffensif Parlementaire Fourbe en Plastique;419;2;5;6;1;0;0;1;1
Prog Inoffensif GD Fourbe en Carton;377;2;2;5;1;1;0;0;1
Goblin Inoffensif GD Géant en Mousse;364;2;1;4;1;1;1;0;0
Dragon Inoffensif GD en Terre Cuite;318;1;9;7;1;1;0;0;0
Axel Inoffensif GD Parlementaire Fourbe en Plastique;291;1;7;8;1;1;0;1;1
Hectolion Inoffensif Parlementaire Fourbe en Plastique;283;1;7;6;1;0;0;1;1
Hectolion Inoffensif GD Géant en Plastique;260;1;5;6;1;1;1;0;0
Dragon Inoffensif GD Parlementaire Fourbe en Plastique;259;1;5;7;1;1;0;1;1
Axel Pacifiste Parlementaire en Chêne;175;0;13;8;1;0;0;1;0
Dragon Pacifiste en Chêne;173;0;13;7;1;0;0;0;0
Hectolion Pacifiste GD Parlementaire en Plastique;106;0;7;6;1;1;0;1;0



Name;i;ATK;DEF;Cost;Value;Powers
Prog Motivé Parlementaire Géant en Carton;662;4;2;5;1;0;1;1;0
Prog Inoffensif Géant en Plastique;572;3;5;5;1;0;1;0;0
Prog Motivé Géant en Carton;780;5;2;5;1;0;1;0;0
Hectolion Inoffensif Fourbe Géant en Plastique;421;2;5;6;1;0;1;0;1
Dragon Hargneux Parlementaire Fourbe en Carton;985;7;3;7;1;0;0;1;1
Hectolion Pacifiste GD Parlementaire en Plastique;106;0;7;6;1;1;0;1;0
Hectolion Inoffensif GD Parlementaire en Plastique;426;2;5;6;1;1;0;1;0
Axel Pacifiste Parlementaire en Chêne;175;0;13;8;1;0;0;1;0
Axel Inoffensif Parlementaire Fourbe Géant en Plastique;605;3;7;8;1;0;1;1;1
Dragon Hargneux GD Géant en Mousse;1036;8;1;7;1;1;1;0;0
Dragon Motivé GD Parlementaire en Carton;817;5;4;7;1;1;0;1;0
Axel Inoffensif GD Parlementaire Fourbe en Plastique;291;1;7;8;1;1;0;1;1
Dragon Inoffensif GD en Terre Cuite;318;1;9;7;1;1;0;0;0
Dragon Motivé GD Fourbe Géant en Carton;685;4;3;7;1;1;1;0;1
Axel Motivé Parlementaire Fourbe en Plastique;733;4;7;8;1;0;0;1;1
Dragon Hargneux Parlementaire Fourbe en Mousse;1027;8;1;7;1;0;0;1;1
Goblin Inoffensif GD en Mousse;512;3;1;4;1;1;0;0;0
Dragon Hargneux Parlementaire Fourbe en Mousse;1027;8;1;7;1;0;0;1;1
Hectolion Inoffensif GD Géant en Plastique;260;1;5;6;1;1;1;0;0
Hectolion Motivé Géant en Carton;914;6;4;6;1;0;1;0;0
Dragon Inoffensif GD en Terre Cuite;318;1;9;7;1;1;0;0;0
Prog Motivé Géant en Carton;796;5;3;5;1;0;1;0;0
Prog Inoffensif GD Fourbe en Carton;377;2;2;5;1;1;0;0;1
Dragon Motivé GD Fourbe Géant en Carton;789;5;2;7;1;1;1;0;1
Dragon Motivé GD Fourbe Géant en Carton;789;5;2;7;1;1;1;0;1
Dragon Hargneux Fourbe Géant en Carton;1044;8;2;7;1;0;1;0;1
Axel Inoffensif Parlementaire Fourbe Géant en Plastique;605;3;7;8;1;0;1;1;1
Hectolion Pacifiste GD Parlementaire en Plastique;106;0;7;6;1;1;0;1;0
Prog Motivé en Plastique;718;4;6;5;1;0;0;0;0
Hectolion Inoffensif GD Géant en Plastique;260;1;5;6;1;1;1;0;0






63
53
59
50
40
52
65
62
69
68
50
52
49
73
40
72
54
54
74
42
39
63
53
38
44
64
52
61
37
66
64
50
52
68
66
45
52
54
52
62
52
51
60
61
46
49
30
61
61
31
45
42
59
64
67
61
78
57
61
69
44
64
60
70
47
73
50
59
67
53
60
53
45
67
50
43
44
47
42
58
46
65
68
64
61
63
49
44
38
74
53
61
64
66
57
69
52
67
55
43
